long,lat,group,order,region,subregion
-77.5213394165039,23.910839080810547,10,133,Bahamas,Andros Island
-77.51874542236328,23.86943244934082,10,134,Bahamas,Andros Island
-77.57373046875,23.739160537719727,10,135,Bahamas,Andros Island
-77.77128601074219,23.752538681030273,10,136,Bahamas,Andros Island
-77.7757797241211,23.862354278564453,10,137,Bahamas,Andros Island
-77.8062973022461,23.883546829223633,10,138,Bahamas,Andros Island
-77.85224151611328,24.040380477905273,10,139,Bahamas,Andros Island
-77.9140625,24.090917587280273,10,140,Bahamas,Andros Island
-77.9999008178711,24.219825744628906,10,141,Bahamas,Andros Island
-77.950042724609375,24.253076553344727,10,142,Bahamas,Andros Island
-77.88359832763672,24.241992950439453,10,143,Bahamas,Andros Island
-77.84956359863281,24.257518768310547,10,144,Bahamas,Andros Island
-77.7574234008789,24.269922256469727,10,145,Bahamas,Andros Island
-77.70146942138672,24.287548065185547,10,146,Bahamas,Andros Island
-77.65771484375,24.24946403503418,10,147,Bahamas,Andros Island
-75.30839538574219,24.200000762939453,11,149,Bahamas,Cat Island
-75.3017578125,24.149169921875,11,150,Bahamas,Cat Island
-75.368743896484375,24.15947151184082,11,151,Bahamas,Cat Island
-75.4676284790039,24.139598846435547,11,152,Bahamas,Cat Island
-75.50321960449219,24.139062881469727,11,153,Bahamas,Cat Island
-75.4810562133789,24.173877716064453,11,154,Bahamas,Cat Island
-75.41240692138672,24.220947265625,11,155,Bahamas,Cat Island
-75.408935546875,24.265771865844727,11,156,Bahamas,Cat Island
-75.493896484375,24.330419540405273,11,157,Bahamas,Cat Island
-75.5927734375,24.491260528564453,11,158,Bahamas,Cat Island
-75.639068603515625,24.529394149780273,11,159,Bahamas,Cat Island
-75.661041259765625,24.58984375,11,160,Bahamas,Cat Island
-75.7439956665039,24.654687881469727,11,161,Bahamas,Cat Island
-75.7266616821289,24.689353942871094,11,162,Bahamas,Cat Island
-75.7096176147461,24.697509765625,11,163,Bahamas,Cat Island
-75.65351867675781,24.680858612060547,11,164,Bahamas,Cat Island
-75.5264663696289,24.449512481689453,11,165,Bahamas,Cat Island
-75.5181655883789,24.427343368530273,11,166,Bahamas,Cat Island
-75.30839538574219,24.200000762939453,11,167,Bahamas,Cat Island
-77.347564697265625,25.013866424560547,12,169,Bahamas,New Providence Island
-77.46050262451172,24.993114471435547,12,170,Bahamas,New Providence Island
-77.54121398925781,25.013574600219727,12,171,Bahamas,New Providence Island
-77.5619125366211,25.030029296875,12,172,Bahamas,New Providence Island
-77.52734375,25.05766487121582,12,173,Bahamas,New Providence Island
-77.4512710571289,25.080713272094727,12,174,Bahamas,New Providence Island
-77.3291015625,25.0830078125,12,175,Bahamas,New Providence Island
-77.27558898925781,25.055761337280273,12,176,Bahamas,New Providence Island
-77.269134521484375,25.043848037719727,12,177,Bahamas,New Providence Island
-77.347564697265625,25.013866424560547,12,178,Bahamas,New Providence Island
-77.74385070800781,24.707422256469727,13,180,Bahamas,Andros Island
-77.74604034423828,24.586328506469727,13,181,Bahamas,Andros Island
-77.735107421875,24.495750427246094,13,182,Bahamas,Andros Island
-77.7452163696289,24.463476181030273,13,183,Bahamas,Andros Island
-77.8534164428711,24.402929306030273,13,184,Bahamas,Andros Island
-77.8812026977539,24.36909294128418,13,185,Bahamas,Andros Island
-77.98320770263672,24.3349609375,13,186,Bahamas,Andros Island
-78.044921875,24.287450790405273,13,187,Bahamas,Andros Island
-78.0758285522461,24.364648818969727,13,188,Bahamas,Andros Island
-78.1357421875,24.412353515625,13,189,Bahamas,Andros Island
-78.14579772949219,24.49345588684082,13,190,Bahamas,Andros Island
-78.19160461425781,24.466064453125,13,191,Bahamas,Andros Island
-78.25761413574219,24.482763290405273,13,192,Bahamas,Andros Island
-78.36650085449219,24.544189453125,13,193,Bahamas,Andros Island
-78.435302734375,24.627588272094727,13,194,Bahamas,Andros Island
-78.33891296386719,24.642040252685547,13,195,Bahamas,Andros Island
-78.3189926147461,24.590234756469727,13,196,Bahamas,Andros Island
-78.24272918701172,24.65380859375,13,197,Bahamas,Andros Island
-78.26006317138672,24.68730354309082,13,198,Bahamas,Andros Island
-78.273834228515625,24.691600799560547,13,199,Bahamas,Andros Island
-78.298828125,24.75390625,13,200,Bahamas,Andros Island
-78.18408203125,24.917089462280273,13,201,Bahamas,Andros Island
-78.1593246459961,25.022363662719727,13,202,Bahamas,Andros Island
-78.21137237548828,25.191261291503906,13,203,Bahamas,Andros Island
-78.16279602050781,25.20234489440918,13,204,Bahamas,Andros Island
-78.0333023071289,25.14311408996582,13,205,Bahamas,Andros Island
-77.97528839111328,25.084814071655273,13,206,Bahamas,Andros Island
-77.973388671875,25.004785537719727,13,207,Bahamas,Andros Island
-77.9189453125,24.94282341003418,13,208,Bahamas,Andros Island
-77.84013366699219,24.794384002685547,13,209,Bahamas,Andros Island
-77.74385070800781,24.707422256469727,13,210,Bahamas,Andros Island
-76.6488265991211,25.487401962280273,14,212,Bahamas,Eleuthera Island
