long,lat,group,order,region,subregion
-61.966651916503906,-39.11220932006836,3,90,Argentina,Isla Trinidad
-61.907127380371094,-39.13564682006836,3,91,Argentina,Isla Trinidad
-61.87578201293945,-39.171875,3,92,Argentina,Isla Trinidad
-62.65097427368164,-22.233692169189453,4,94,Argentina,NA
-62.62568283081055,-22.26152229309082,4,95,Argentina,NA
-62.6259765625,-22.290430068969727,4,96,Argentina,NA
-62.54154968261719,-22.349609375,4,97,Argentina,NA
-62.37250900268555,-22.43916130065918,4,98,Argentina,NA
-62.21415710449219,-22.612401962280273,4,99,Argentina,NA
-62.06659698486328,-22.869434356689453,4,100,Argentina,NA
-61.92802810668945,-23.059276580810547,4,101,Argentina,NA
-61.79853439331055,-23.182031631469727,4,102,Argentina,NA
-61.67948913574219,-23.26875114440918,4,103,Argentina,NA
-61.57099151611328,-23.319433212280273,4,104,Argentina,NA
-61.513038635253906,-23.360448837280273,4,105,Argentina,NA
-61.50551986694336,-23.391992568969727,4,106,Argentina,NA
-61.403953552246094,-23.45751953125,4,107,Argentina,NA
-61.208396911621094,-23.557031631469727,4,108,Argentina,NA
-61.084716796875,-23.65644645690918,4,109,Argentina,NA
-61.03290939331055,-23.755664825439453,4,110,Argentina,NA
-60.839839935302734,-23.858104705810547,4,111,Argentina,NA
-60.505374908447266,-23.963573455810547,4,112,Argentina,NA
-60.26220703125,-24.013965606689453,4,113,Argentina,NA
-60.11030197143555,-24.009180068969727,4,114,Argentina,NA
-59.892478942871094,-24.093555450439453,4,115,Argentina,NA
-59.60858917236328,-24.266796112060547,4,116,Argentina,NA
-59.43539810180664,-24.38701057434082,4,117,Argentina,NA
-59.372947692871094,-24.45390510559082,4,118,Argentina,NA
-59.187255859375,-24.562305450439453,4,119,Argentina,NA
-58.72402572631836,-24.78662109375,4,120,Argentina,NA
-58.51962661743164,-24.842870712280273,4,121,Argentina,NA
-58.42280197143555,-24.894140243530273,4,122,Argentina,NA
-58.365379333496094,-24.95927619934082,4,123,Argentina,NA
-58.30868911743164,-24.979101181030273,4,124,Argentina,NA
-58.252784729003906,-24.95380973815918,4,125,Argentina,NA
-58.136474609375,-24.977148056030273,4,126,Argentina,NA
-57.959815979003906,-25.049219131469727,4,127,Argentina,NA
-57.821678161621094,-25.13642692565918,4,128,Argentina,NA
-57.64389419555664,-25.328418731689453,4,129,Argentina,NA
-57.587154388427734,-25.405078887939453,4,130,Argentina,NA
-57.563133239746094,-25.473730087280273,4,131,Argentina,NA
-57.571678161621094,-25.534181594848633,4,132,Argentina,NA
-57.62582778930664,-25.598731994628906,4,133,Argentina,NA
-57.725486755371094,-25.667186737060547,4,134,Argentina,NA
-57.754783630371094,-25.697071075439453,4,135,Argentina,NA
-57.757076263427734,-25.725975036621094,4,136,Argentina,NA
-57.782470703125,-25.78369140625,4,137,Argentina,NA
-57.865234375,-25.906932830810547,4,138,Argentina,NA
-57.88623046875,-25.964256286621094,4,139,Argentina,NA
-57.890628814697266,-26.006542205810547,4,140,Argentina,NA
-57.943119049072266,-26.05293083190918,4,141,Argentina,NA
-58.082420349121094,-26.138574600219727,4,142,Argentina,NA
-58.11113357543945,-26.18017578125,4,143,Argentina,NA
-58.118064880371094,-26.224903106689453,4,144,Argentina,NA
-58.13564682006836,-26.25146484375,4,145,Argentina,NA
-58.15468978881836,-26.262598037719727,4,146,Argentina,NA
-58.18149185180664,-26.30742073059082,4,147,Argentina,NA
-58.203025817871094,-26.381444931030273,4,148,Argentina,NA
-58.205177307128906,-26.4765625,4,149,Argentina,NA
-58.18793869018555,-26.592578887939453,4,150,Argentina,NA
-58.191307067871094,-26.629980087280273,4,151,Argentina,NA
-58.222068786621094,-26.649999618530273,4,152,Argentina,NA
-58.239356994628906,-26.676855087280273,4,153,Argentina,NA
-58.24555969238281,-26.731054306030273,4,154,Argentina,NA
-58.27167510986328,-26.770702362060547,4,155,Argentina,NA
-58.31767654418945,-26.7958984375,4,156,Argentina,NA
-58.33466339111328,-26.824901580810547,4,157,Argentina,NA
-58.32256317138672,-26.857616424560547,4,158,Argentina,NA
-58.3564453125,-26.890039443969727,4,159,Argentina,NA
-58.43632507324219,-26.921972274780273,4,160,Argentina,NA
-58.48525619506836,-26.96845817565918,4,161,Argentina,NA
-58.50321960449219,-27.029491424560547,4,162,Argentina,NA
-58.547706604003906,-27.083984375,4,163,Argentina,NA
-58.61860275268555,-27.132129669189453,4,164,Argentina,NA
-58.64175033569336,-27.196094512939453,4,165,Argentina,NA
-58.60483169555664,-27.314355850219727,4,166,Argentina,NA
-58.16826248168945,-27.2734375,4,167,Argentina,NA
-57.81221008300781,-27.31660270690918,4,168,Argentina,NA
-57.391258239746094,-27.43046760559082,4,169,Argentina,NA
-57.11181640625,-27.470117568969727,4,170,Argentina,NA
-56.973976135253906,-27.435741424560547,4,171,Argentina,NA
-56.871726989746094,-27.440624237060547,4,172,Argentina,NA
-56.80517578125,-27.48466682434082,4,173,Argentina,NA
-56.715721130371094,-27.493749618530273,4,174,Argentina,NA
-56.603370666503906,-27.467870712280273,4,175,Argentina,NA
-56.51054763793945,-27.487892150878906,4,176,Argentina,NA
-56.437156677246094,-27.553808212280273,4,177,Argentina,NA
-56.370506286621094,-27.53740119934082,4,178,Argentina,NA
-56.310546875,-27.43876838684082,4,179,Argentina,NA
-56.24169921875,-27.366796493530273,4,180,Argentina,NA
-56.1640625,-27.321483612060547,4,181,Argentina,NA
-56.06733322143555,-27.307714462280273,4,182,Argentina,NA
-55.95146560668945,-27.32568359375,4,183,Argentina,NA
-55.859031677246094,-27.361913681030273,4,184,Argentina,NA
-55.78998947143555,-27.416406631469727,4,185,Argentina,NA
-55.71464920043945,-27.414844512939453,4,186,Argentina,NA
-55.63290786743164,-27.35713005065918,4,187,Argentina,NA
-55.59379959106445,-27.2880859375,4,188,Argentina,NA
-55.59726333618164,-27.207616806030273,4,189,Argentina,NA
-55.56489181518555,-27.149999618530273,4,190,Argentina,NA
-55.496726989746094,-27.115331649780273,4,191,Argentina,NA
-55.45063400268555,-27.068359375,4,192,Argentina,NA
-55.42666244506836,-27.00927734375,4,193,Argentina,NA
-55.345802307128906,-26.97314453125,4,194,Argentina,NA
-55.2080078125,-26.96015739440918,4,195,Argentina,NA
-55.13593673706055,-26.93115234375,4,196,Argentina,NA
-55.129638671875,-26.886035919189453,4,197,Argentina,NA
-55.0888671875,-26.844532012939453,4,198,Argentina,NA
-55.01362228393555,-26.806640625,4,199,Argentina,NA
-54.962158203125,-26.759374618530273,4,200,Argentina,NA
-54.93447494506836,-26.702539443969727,4,201,Argentina,NA
-54.888916015625,-26.666797637939453,4,202,Argentina,NA
-54.82548904418945,-26.652246475219727,4,203,Argentina,NA
-54.75507736206055,-26.532909393310547,4,204,Argentina,NA
-54.677734375,-26.308788299560547,4,205,Argentina,NA
-54.631935119628906,-26.005762100219727,4,206,Argentina,NA
-54.615867614746094,-25.576074600219727,4,207,Argentina,NA
-54.537841796875,-25.576465606689453,4,208,Argentina,NA
-54.50151443481445,-25.608299255371094,4,209,Argentina,NA
-54.443946838378906,-25.625,4,210,Argentina,NA
-54.38335037231445,-25.588672637939453,4,211,Argentina,NA
-54.33188247680664,-25.571874618530273,4,212,Argentina,NA
-54.250099182128906,-25.570409774780273,4,213,Argentina,NA
-54.206153869628906,-25.52958869934082,4,214,Argentina,NA
-54.15459060668945,-25.523048400878906,4,215,Argentina,NA
-54.119239807128906,-25.545215606689453,4,216,Argentina,NA
-54.08501052856445,-25.571874618530273,4,217,Argentina,NA
-54.012306213378906,-25.577930450439453,4,218,Argentina,NA
-53.95478439331055,-25.647655487060547,4,219,Argentina,NA
-53.89116287231445,-25.668848037719727,4,220,Argentina,NA
-53.86421203613281,-25.74882698059082,4,221,Argentina,NA
-53.8232421875,-25.959569931030273,4,222,Argentina,NA
-53.74692153930664,-26.08369255065918,4,223,Argentina,NA
-53.671287536621094,-26.22509765625,4,224,Argentina,NA
-53.66855239868164,-26.288183212280273,4,225,Argentina,NA
-53.7109375,-26.35185432434082,4,226,Argentina,NA
-53.718162536621094,-26.443164825439453,4,227,Argentina,NA
-53.74457931518555,-26.66650390625,4,228,Argentina,NA
-53.753318786621094,-26.748632431030273,4,229,Argentina,NA
-53.727149963378906,-26.8046875,4,230,Argentina,NA
-53.71728515625,-26.8828125,4,231,Argentina,NA
-53.75849533081055,-26.97831916809082,4,232,Argentina,NA
-53.83818435668945,-27.12109375,4,233,Argentina,NA
-53.915626525878906,-27.159570693969727,4,234,Argentina,NA
-53.93534851074219,-27.1611328125,4,235,Argentina,NA
-54.04013442993164,-27.243749618530273,4,236,Argentina,NA
-54.11381912231445,-27.274707794189453,4,237,Argentina,NA
-54.15644454956055,-27.253808975219727,4,238,Argentina,NA
-54.205223083496094,-27.289648056030273,4,239,Argentina,NA
-54.260154724121094,-27.38203239440918,4,240,Argentina,NA
-54.327003479003906,-27.42353630065918,4,241,Argentina,NA
-54.448143005371094,-27.44648551940918,4,242,Argentina,NA
-54.48432540893555,-27.457324981689453,4,243,Argentina,NA
-54.554931640625,-27.4541015625,4,244,Argentina,NA
-54.61542892456055,-27.477149963378906,4,245,Argentina,NA
-54.665870666503906,-27.526561737060547,4,246,Argentina,NA
-54.7197265625,-27.544921875,4,247,Argentina,NA
-54.777099609375,-27.532520294189453,4,248,Argentina,NA
-54.8291015625,-27.55058479309082,4,249,Argentina,NA
-54.875732421875,-27.599218368530273,4,250,Argentina,NA
-54.90278625488281,-27.651952743530273,4,251,Argentina,NA
-54.91020584106445,-27.708593368530273,4,252,Argentina,NA
-54.95590591430664,-27.747169494628906,4,253,Argentina,NA
-55.03994369506836,-27.76777458190918,4,254,Argentina,NA
-55.068992614746094,-27.796287536621094,4,255,Argentina,NA
-55.06386947631836,-27.8359375,4,256,Argentina,NA
-55.10151290893555,-27.866798400878906,4,257,Argentina,NA
-55.243751525878906,-27.898828506469727,4,258,Argentina,NA
-55.34648513793945,-27.955957412719727,4,259,Argentina,NA
-55.409812927246094,-28.03779411315918,4,260,Argentina,NA
-55.476661682128906,-28.08935546875,4,261,Argentina,NA
-55.58237075805664,-28.120994567871094,4,262,Argentina,NA
-55.725486755371094,-28.2041015625,4,263,Argentina,NA
-55.745994567871094,-28.255468368530273,4,264,Argentina,NA
-55.691505432128906,-28.302831649780273,4,265,Argentina,NA
-55.671974182128906,-28.344921112060547,4,266,Argentina,NA
-55.687255859375,-28.381641387939453,4,267,Argentina,NA
-55.73198318481445,-28.386621475219727,4,268,Argentina,NA
-55.806053161621094,-28.359766006469727,4,269,Argentina,NA
-55.85888671875,-28.354198455810547,4,270,Argentina,NA
-55.890525817871094,-28.370018005371094,4,271,Argentina,NA
-55.905418395996094,-28.399608612060547,4,272,Argentina,NA
-55.90365982055664,-28.443262100219727,4,273,Argentina,NA
-55.93017578125,-28.47285270690918,4,274,Argentina,NA
-55.98491287231445,-28.48857307434082,4,275,Argentina,NA
-56.019630432128906,-28.52461051940918,4,276,Argentina,NA
-56.03422927856445,-28.580860137939453,4,277,Argentina,NA
-56.10287857055664,-28.651758193969727,4,278,Argentina,NA
-56.22553634643555,-28.737207412719727,4,279,Argentina,NA
-56.322364807128906,-28.852439880371094,4,280,Argentina,NA
-56.39326095581055,-28.997264862060547,4,281,Argentina,NA
-56.475975036621094,-29.092479705810547,4,282,Argentina,NA
-56.57070541381836,-29.138086318969727,4,283,Argentina,NA
-56.635841369628906,-29.203027725219727,4,284,Argentina,NA
-56.67153549194336,-29.287303924560547,4,285,Argentina,NA
-56.7724609375,-29.417871475219727,4,286,Argentina,NA
-56.938621520996094,-29.594823837280273,4,287,Argentina,NA
-57.08935546875,-29.716209411621094,4,288,Argentina,NA
-57.22465515136719,-29.782127380371094,4,289,Argentina,NA
-57.300682067871094,-29.856542587280273,4,290,Argentina,NA
-57.31747817993164,-29.939455032348633,4,291,Argentina,NA
-57.40522766113281,-30.033885955810547,4,292,Argentina,NA
-57.563865661621094,-30.13994026184082,4,293,Argentina,NA
-57.608890533447266,-30.187793731689453,4,294,Argentina,NA
-57.645751953125,-30.226953506469727,4,295,Argentina,NA
-57.650882720947266,-30.295021057128906,4,296,Argentina,NA
-57.71269607543945,-30.384471893310547,4,297,Argentina,NA
-57.831199645996094,-30.49521255493164,4,298,Argentina,NA
-57.87250518798828,-30.591012954711914,4,299,Argentina,NA
-57.81855392456055,-30.712011337280273,4,300,Argentina,NA
-57.81059646606445,-30.858592987060547,4,301,Argentina,NA
-57.83407974243164,-30.91748046875,4,302,Argentina,NA
-57.886329650878906,-30.937402725219727,4,303,Argentina,NA
-57.898292541503906,-30.975194931030273,4,304,Argentina,NA
-57.87006759643555,-31.031055450439453,4,305,Argentina,NA
-57.868408203125,-31.104394912719727,4,306,Argentina,NA
-57.89336013793945,-31.195310592651367,4,307,Argentina,NA
-57.948341369628906,-31.299413681030273,4,308,Argentina,NA
-58.03339767456055,-31.416603088378906,4,309,Argentina,NA
-58.053855895996094,-31.49492073059082,4,310,Argentina,NA
-58.00967025756836,-31.53437614440918,4,311,Argentina,NA
-57.98798370361328,-31.576173782348633,4,312,Argentina,NA
-57.98886489868164,-31.620607376098633,4,313,Argentina,NA
-58.006980895996094,-31.684961318969727,4,314,Argentina,NA
-58.04233169555664,-31.769237518310547,4,315,Argentina,NA
-58.095848083496094,-31.831836700439453,4,316,Argentina,NA
-58.167484283447266,-31.872657775878906,4,317,Argentina,NA
-58.18901062011719,-31.924219131469727,4,318,Argentina,NA
-58.160400390625,-31.98652458190918,4,319,Argentina,NA
-58.156349182128906,-32.05156326293945,4,320,Argentina,NA
-58.177001953125,-32.119041442871094,4,321,Argentina,NA
-58.164798736572266,-32.18486404418945,4,322,Argentina,NA
-58.11972427368164,-32.248924255371094,4,323,Argentina,NA
-58.123046875,-32.321876525878906,4,324,Argentina,NA
-58.201168060302734,-32.4716796875,4,325,Argentina,NA
-58.219970703125,-32.56396484375,4,326,Argentina,NA
